geometry_type,coord_x,coord_y,feature_type,cdns,certs_BREAAM,certs_EUcoc,certs_LEED,certs_Other,certs_UT_cert,certs_UT_level,clouds,company_name,construction_date,country,fibres,gross_max_power,id,ixps,m2,name,networks,readyForService,readyForService_dt,construction_date_dt,readyForService_dmy,construction_date_dmy
Point,6.1688264,48.7085582,Feature,[],,,,,0,1,[],Arcan Networks,,France,[],,07c6b4b4-b62b-11e5-ad0b-02b4d6763261,[],,Maxeville,[],,,,,
Point,5.3673186,43.4953094,Feature,[],,,,,,,[],IELO / Lost Oasis,,France,[],,07c6b4a6-b62b-11e5-ad0b-02b4d6763261,[],,Marseille,[],,,,,
Point,5.5981873,43.2015836,Feature,[],,,,,,,[],BICS SA/NV,,France,[],,074f88d8-b62b-11e5-ad0b-02b4d6763261,[],,La Ciotat,"[""Belgacom International Carrier Services""]",,,,,
Point,5.6057794,43.207502,Feature,[],,,,,,,[],ASPSERVEUR,,France,[],,07499565-b62b-11e5-ad0b-02b4d6763261,[],,La Ciotat,[],,,,,
Point,4.0231365,49.0479423,Feature,[],,,,,,,[],Interoute,,France,[],,07022c26-b62b-11e5-ad0b-02b4d6763261,[],,Mareuil sur Ay,[],,,,,
Point,1.5091939,45.1580558,Feature,[],,,,,,,[],Artefact,,France,[],,06d59de1-b62b-11e5-ad0b-02b4d6763261,[],,ArteOne,[],,,,,
Point,0.2190669,47.9636615,Feature,[],,,,,,,[],BPL Global,,France,[],,06d59de3-b62b-11e5-ad0b-02b4d6763261,[],,Le Mans,[],,,,,
Point,0.1804679,48.0498575,Feature,[],,,,,,,[],Datagrex,,France,[],,073a2c16-b62b-11e5-ad0b-02b4d6763261,[],,Pascal de Rienzo,[],,,,,
Point,5.7869704,45.2114025,Feature,[],,,,,0,1,[],Xsalto,,France,[],300.0,07492034-b62b-11e5-ad0b-02b4d6763261,[],500.0,Meylan,[],,,,,
Point,6.409053,46.0780249,Feature,[],,,,,,,[],Regie Gaz Electricite,,France,[],,073f5c3e-b62b-11e5-ad0b-02b4d6763261,[],,THDGlobal2,[],,,,,
Point,6.6400758,45.9323666,Feature,[],,,,,,,[],Regie Gaz Electricite,,France,[],,06fc5fc2-b62b-11e5-ad0b-02b4d6763261,[],,THDGlobal1,[],,,,,
Point,6.0194766,46.23866,Feature,[],,,,,,,[],Maxnod,,France,[],,07cb217c-b62b-11e5-ad0b-02b4d6763261,[],,Saint Genis Pouilly,[],,,,,
Point,3.0942747,50.3754192,Feature,[],,,,,,,[],SQL Technologies,,France,[],,070dc4e1-b62b-11e5-ad0b-02b4d6763261,[],,Douai,[],,,,,
Point,2.3453455,43.2175164,Feature,[],,,,,,,[],Ataraxie,,France,[],,07c55518-b62b-11e5-ad0b-02b4d6763261,[],,Carcassonne,[],,,,,
Point,1.799951,50.936417,Feature,[],,,,,,,[],Interoute,,France,[],,078c6aec-b62b-11e5-ad0b-02b4d6763261,[],,Calais,[],,,,,
Point,-0.600108,44.8736854,Feature,[],,,,,,,[],Alienor.net,,France,[],,078fc631-b62b-11e5-ad0b-02b4d6763261,[],,Le Bouscat,[],,,,,
